CodParcela,Parcela,N,P,K,Ca,Mg,S,Cu,Mn,Fe,Zn,B,Produção
REG,1,66.22,4.4,19.0,2.4,2.5,2.0,11.9,28.2,58.2,62.4,47.0,4728.2
REG,2,67.40,3.9,17.5,1.6,2.7,1.4,11.5,24.6,53.1,35.9,49.2,5374.6
REG,3,66.11,4.9,18.5,2.0,2.7,2.7,12.2,30.6,59.5,62.1,47.6,4921.5
REG,4,67.90,5.5,32.7,2.1,2.8,2.4,12.6,33.1,61.0,40.5,47.8,4648.2
REG,5,59.00,4.3,18.0,1.6,2.7,1.5,12.3,23.9,111.0,36.5,55.2,5038.1
REG,6,67.03,3.7,16.9,1.6,2.5,1.7,11.8,24.8,93.0,37.8,45.1,4611.6
REG,7,58.80,3.6,17.5,1.5,2.4,1.5,10.7,21.4,64.8,34.3,48.7,4823.2
REG,8,64.76,4.1,18.5,1.8,2.7,1.5,11.2,24.1,97.0,36.1,54.7,4948.1
REG,9,62.64,3.8,17.5,1.5,2.8,1.4,10.9,22.1,60.1,36.7,46.8,5401.3
REG,11,65.02,4.7,19.5,1.4,2.7,1.6,12.5,23.8,128.8,35.7,47.1,4658.2
REG,12,69.30,4.3,19.5,1.6,2.7,1.7,11.8,23.1,78.1,34.2,45.8,4025.1
REG,13,71.96,4.6,20.5,1.7,2.8,1.4,12.0,21.0,56.4,37.3,49.9,4465.0
REG,14,68.96,4.8,21.5,1.8,2.6,2.0,13.0,23.0,59.9,33.9,48.1,4268.4
REG,15,68.68,5.5,19.0,1.7,2.6,2.0,11.3,24.0,51.1,33.9,51.4,4711.5
REG,16,65.69,4.4,21.0,1.4,2.7,1.9,12.3,26.0,64.2,36.4,45.0,4848.2
REG,17,67.06,4.4,22.5,1.3,2.7,1.3,12.2,21.3,118.5,35.6,48.2,4908.1
REG,19,67.06,4.3,22.5,1.5,2.6,1.9,12.5,24.6,96.0,34.2,53.0,4823.2
REG,20,65.83,4.0,22.5,1.6,2.6,1.9,11.5,23.7,115.0,34.7,53.0,4381.7
REG,21,68.01,3.7,20.0,1.8,2.7,1.5,11.6,25.9,61.2,36.1,44.0,4501.6
REG,22,65.58,3.5,20.0,1.0,2.5,1.5,12.3,25.2,253.4,34.9,48.1,4365.0
REG,23,65.60,4.0,22.0,1.3,2.5,1.6,12.0,23.7,56.4,33.0,48.1,4581.6
REG,24,66.72,4.0,21.0,1.6,2.6,1.7,12.1,24.3,97.9,34.5,51.3,4604.9
REG,25,65.69,4.0,20.0,1.5,2.6,1.6,12.2,24.3,131.6,34.1,53.2,3738.6
REG,26,65.10,4.5,23.0,1.1,2.8,1.5,12.5,25.6,61.7,39.8,45.9,3961.8
REG,27,63.42,4.0,19.5,1.8,2.8,1.7,11.9,24.7,105.1,34.3,52.0,4621.6
REG,28,66.75,4.3,15.4,1.7,2.7,1.6,12.9,25.6,107.9,45.5,50.6,4455.0
REG,29,67.93,4.7,22.5,1.8,2.4,1.8,12.6,30.8,110.6,38.9,55.3,3572.0
REG,30,62.33,3.9,19.5,1.4,2.6,1.5,13.1,25.8,205.1,38.3,50.4,3358.7
REG,31,61.40,4.6,17.5,1.8,2.4,1.7,12.9,30.3,91.4,40.4,48.9,4998.1
REG,32,68.60,4.3,19.5,1.9,2.3,1.9,12.3,33.5,61.9,39.5,49.9,4931.5
REG,33,66.95,4.5,22.5,1.3,2.8,1.4,12.9,23.4,62.8,38.2,45.0,4801.5
REG,34,66.25,4.3,22.5,1.8,2.7,1.9,12.3,25.2,61.9,34.8,46.6,4451.6
REG,35,67.51,4.5,21.0,2.0,2.6,1.9,12.6,25.4,95.4,33.9,50.4,4724.9
REG,36,64.88,4.0,21.0,1.5,2.6,1.9,11.6,24.0,60.7,33.3,44.2,4531.6
REG,37,63.48,4.1,20.0,1.5,2.7,1.8,12.4,24.4,79.7,34.7,47.9,6307.6
REG,38,66.30,4.8,20.5,1.6,2.5,1.7,12.2,25.4,59.6,34.5,45.3,5191.4
REG,39,58.91,4.7,20.0,1.5,2.6,2.4,13.1,26.7,68.6,35.6,48.1,5064.7
REG,40,66.56,4.4,18.0,1.3,2.8,1.2,13.0,24.0,109.2,34.9,55.0,4584.9
REG,41,70.45,5.2,19.0,1.8,2.8,1.6,13.3,24.6,65.9,35.2,44.0,4261.7
REG,42,65.63,4.8,20.0,1.7,2.6,1.5,12.7,26.6,58.1,34.5,47.8,4931.5
REG,43,68.82,4.5,24.1,1.7,2.6,1.5,13.4,26.9,177.9,35.6,48.6,4128.4
REG,44,69.66,3.8,21.5,1.3,2.7,1.4,12.6,23.8,64.3,37.3,43.1,4301.7
REG,45,70.36,4.3,20.0,1.8,2.5,1.7,11.8,24.8,60.2,33.5,44.6,4568.3
REG,46,68.99,4.7,24.6,1.8,2.6,1.6,12.6,26.8,63.7,34.5,45.0,5088.1
REG,47,70.25,4.2,23.5,1.8,2.8,1.0,12.9,24.4,78.8,35.8,47.8,4190.1
REG,48,66.08,4.4,22.5,1.3,2.6,1.8,13.2,24.3,150.7,37.9,45.5,4704.9
REG,49,66.67,4.5,21.5,1.6,2.5,1.7,13.0,30.7,62.5,36.0,41.6,4201.7
REG,50,64.85,4.0,21.5,1.3,2.6,1.3,12.2,26.4,205.3,38.8,44.8,4011.8
REG,51,68.32,5.1,23.5,1.8,2.4,1.8,12.1,32.1,121.4,39.6,47.6,4315.0
